System ID,UPC,EAN,Custom SKU,Manufact. SKU,name,Vendor ID,Qty.,price,Tax,Brand,Publish to eCom,Season,Department,MSRP,Tax Class,Default Cost,Vendor,Category,Subcategory 1,Subcategory 2,Subcategory 3,Subcategory 4,Subcategory 5,Subcategory 6,Subcategory 7,Subcategory 8,Subcategory 9
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q741,Master Plumber -- Q741,,1,$0.16 ,Yes,Master Plumber,No,,,0.09,Item,0.09,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q898,Master Plumber -- Q898,,1,$32.95 ,Yes,Master Plumber,No,,,18.25,Item,18.25,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q1128D,Master Plumber -- Q1128D,,1,$7.70 ,Yes,Master Plumber,No,,,4.27,Item,4.27,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q1455G,Master Plumber -- Q1455G,,1,$2.08 ,Yes,Master Plumber,No,,,1.15,Item,1.15,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,QCU-12,Master Plumber -- QCU-12,,1,$1.53 ,Yes,Master Plumber,No,,,0.84,Item,0.84,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,UB-3,Master Plumber -- UB-3,,11,$20.15 ,Yes,Master Plumber,No,,,10.05,Item,10.05,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,QD-23,Master Plumber -- QD-23,,1,$30.93 ,Yes,Master Plumber,No,,,17.13,Item,17.13,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,531FW,Master Plumber -- 531FW,,1,$2.68 ,Yes,Master Plumber,No,,,1.48,Item,1.48,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,504,Master Plumber -- 504,,1,$2.08 ,Yes,Master Plumber,No,,,1.15,Item,1.15,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,0.646,Master Plumber -- .646,,1,$1.41 ,Yes,Master Plumber,No,,,0.78,Item,0.78,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,1467,Master Plumber -- 1467,,1,$42.86 ,Yes,Master Plumber,No,,,23.74,Item,23.74,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q442FL,Master Plumber -- Q442FL,,1,$1.44 ,Yes,Master Plumber,No,,,0.8,Item,0.8,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q357,Master Plumber -- Q357,,1,$98.93 ,Yes,Master Plumber,No,,,54.79,Item,54.79,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,619,Master Plumber -- 619,,1,$1.74 ,Yes,Master Plumber,No,,,0.96,Item,0.96,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q651A,Master Plumber -- Q651A,,1,$0.13 ,Yes,Master Plumber,No,,,0.07,Item,0.07,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,E-4X,Master Plumber -- E-4X,,0,$11.03 ,Yes,Master Plumber,No,,,4.44,Item,4.44,,,,,,,,,,,
2.1E+11,7.73497E+11,7.73497E+11,7.73497E+11,Q563A,Master Plumber -- Q563A,,1,$315.80 ,Yes,Master Plumber,No,,,174.9,Item,174.9,,,,,,,,,,,
